Users,Price,Economy,TVTNum,InvestorTVT,InvestorPerc,InvestorSell,InvestorReturn,InvestorPercReturn,Bond
71664,0.00802879269539401,1857530880.0,231358680000.0,4759879200.373904,4759879200.373904,366719.9917896341,47261627.90913375,8.452325581826749,0.0
71895,0.008306381027070176,1921753350.0,231358680000.0,4712280408.370166,4712280408.370166,375605.01767074666,48563146.15020506,8.712629230041012,0.0
73145,0.008280076416411089,1915667550.0,231358680000.0,4665157604.286465,4665157604.286465,370671.39783018315,48419682.42780801,8.683936485561603,0.0
74476,0.008343831837214839,1930417920.0,231358680000.0,4618506028.2436,4618506028.2436,369790.2601705691,48697648.86871297,8.739529773742595,0.0
76123,0.008528351562171776,1973108160.0,231358680000.0,4572320967.9611635,4572320967.9611635,374188.3094582782,49530160.20920601,8.906032041841202,0.0
79900,0.009137993007221514,2114154000.0,231358680000.0,4526597758.281552,4526597758.281552,396927.4518040097,52296745.652829066,9.459349130565814,0.0
81550,0.009421870404862268,2179831500.0,231358680000.0,4481331780.698736,4481331780.698736,405165.66580795933,53560419.935889766,9.712083987177953,0.0
82339,0.009609118620490055,2223153000.0,231358680000.0,4436518462.891748,4436518462.891748,409085.66225581145,54378010.49113244,9.875602098226487,0.0
84131,0.00962188347547626,2226106260.0,231358680000.0,4392153278.262831,4392153278.262831,405532.80502406467,54413298.174111515,9.882659634822303,0.0
87833,0.009737764971688117,2252916450.0,231358680000.0,4348231745.480203,4348231745.480203,406312.6852618504,54900882.589416735,9.980176517883347,0.0
89433,0.010332631954850366,2390544090.0,231358680000.0,4304749428.0254,4304749428.0254,426822.4436642182,57465037.75080064,10.493007550160128,0.0
89730,0.010052795944375201,2325801600.0,231358680000.0,4261701933.745146,4261701933.745146,411110.2921202529,56238776.46097097,10.247755292194194,0.0
90767,0.0103808286769271,2401694820.0,231358680000.0,4219084914.407694,4219084914.407694,420279.97764020885,57614634.19279593,10.522926838559187,0.0
92328,0.010236111305614295,2368213200.0,231358680000.0,4176894065.263617,4176894065.263617,410276.7165212944,56982465.803241484,10.396493160648296,0.0
90782,0.010276599866493014,2377580580.0,231358680000.0,4135125124.610981,4135125124.610981,407780.5554377125,57130120.09839015,10.42602401967803,0.0
91046,0.010200232470206003,2359912320.0,231358680000.0,4093773873.364871,4093773873.364871,400702.7568620064,56793241.740520395,10.35864834810408,0.0
92127,0.010428855014214292,2412806130.0,231358680000.0,4052836134.6312227,4052836134.6312227,405587.05476985255,57707824.05095059,10.541564810190117,0.0
98528,0.010923485559305578,2527243200.0,231358680000.0,4012307773.28491,4012307773.28491,420575.421413325,59690345.04889345,10.93806900977869,0.0
99401,0.010904269422698988,2522797380.0,231358680000.0,3972184695.552061,3972184695.552061,415637.20718353725,59591368.35213098,10.918273670426196,0.0
101246,0.011023518719937371,2550386740.0,231358680000.0,3932462848.5965405,3932462848.5965405,415980.7973294355,60043154.85940139,11.008630971880278,0.0
99470,0.011724422442244224,2712546900.0,231358680000.0,3893138220.1105747,3893138220.1105747,438005.6289160844,62776379.779978424,11.555275955995684,0.0
97423,0.007,2498899950.0,356985707142.0,7623017651.90947,0.02135384554451426,399472.1424931408,70892178.3672147,13.178435673442939,0.0
98167,0.007424692213085421,2650509000.0,356985707142.0,7546787475.390375,7546787475.390375,537686.3181032754,74101315.3242932,13.82026306485864,0.0
98650,0.007013549702156775,2503737000.0,356985707142.0,7471319600.636471,7471319600.636471,502832.80597751815,70972045.2876912,13.194409057538241,0.0
100427,0.006706654165982212,2394179680.0,356985707142.0,7396606404.630106,7396606404.630106,476021.78888743557,68654076.87455985,12.73081537491197,0.0
102165,0.007131803176050642,2545951800.0,356985707142.0,7322640340.583805,7322640340.583805,501135.8399611051,71772361.19482988,13.354472238965975,0.0
103624,0.006920154254291582,2470396160.0,356985707142.0,7249413937.177967,7249413937.177967,481401.1067026124,70197195.36196315,13.03943907239263,0.0
106652,0.007606354724224008,2715359920.0,356985707142.0,7176919797.806188,7176919797.806188,523845.3325146338,75144175.8054149,14.02883516108298,0.0
110896,0.008076782745963263,2883296000.0,356985707142.0,7105150599.828126,7105150599.828126,550681.0089247884,78491416.77708212,14.698283355416423,0.0
117452,0.007932440048289085,2831767720.0,356985707142.0,7034099093.829845,7034099093.829845,535431.2210884119,77437659.58153802,14.487531916307605,0.0
119291,0.008597984088979467,3069357430.0,356985707142.0,6963758102.891546,6963758102.891546,574551.184846018,82088922.77901757,15.417784555803513,0.0
121362,0.008655462832776451,3089876520.0,356985707142.0,6894120521.862631,6894120521.862631,572608.2196422239,82459053.57215983,15.491810714431965,0.0
124467,0.00878277103893363,3135323730.0,356985707142.0,6825179316.644005,6825179316.644005,575220.0795541622,83306456.9478004,15.661291389560079,0.0
126522,0.009023470843662285,3221250120.0,356985707142.0,6756927523.477565,6756927523.477565,585074.6623817881,84918482.87327139,15.983696574654278,0.0
129482,0.009234576214247956,3296611720.0,356985707142.0,6689358248.242789,6689358248.242789,592774.9408021801,86313707.8810408,16.26274157620816,0.0
127118,0.00925826422144494,3305068000.0,356985707142.0,6622464665.760362,6622464665.760362,588352.5382742685,86441199.5243013,16.288239904860262,0.0
131139,0.00925356770288283,3303391410.0,356985707142.0,6556240019.102757,6556240019.102757,582173.5388733521,86379456.28349937,16.275891256699875,0.0
132990,0.009384179906865141,3350018100.0,356985707142.0,6490677618.91173,6490677618.91173,584486.8905925682,87205018.7743055,16.4410037548611,0.0
134675,0.009197501284537297,3283376500.0,356985707142.0,6425770842.722612,6425770842.722612,567131.1495058532,85963499.01056415,16.19269980211283,0.0
135325,0.009446593890266267,3372299000.0,356985707142.0,6361513134.295385,6361513134.295385,576665.6520395962,87533760.1898036,16.50675203796072,0.0
135726,0.009166624306049148,3272353860.0,356985707142.0,6297898002.952432,6297898002.952432,553979.2087407868,85723573.20214313,16.144714640428628,0.0
140017,0.009350529203882733,3338005280.0,356985707142.0,6234919022.922908,6234919022.922908,559442.4523969697,86852343.1513426,16.37046863026852,0.0
145365,0.010147453322435293,3622495800.0,356985707142.0,6172569832.693679,6172569832.693679,601051.2226656026,91789466.22305489,17.357893244610977,0.0
146592,0.010233106163398578,3653072640.0,356985707142.0,6110844134.366742,6110844134.366742,600063.3427899845,92286582.08406991,17.45731641681398,0.0
145842,0.010180751126134955,3634382640.0,356985707142.0,6049735693.023075,6049735693.023075,591023.3413745954,91935542.12005165,17.387108424010332,0.0
151330,0.01090721791405272,3893720900.0,356985707142.0,5989238336.092844,5989238336.092844,626864.9624991451,96297481.28395045,18.25949625679009,0.0
154173,0.010412492589014008,3717111030.0,356985707142.0,5929345952.731915,5929345952.731915,592447.5479898516,93303271.95149842,17.660654390299683,0.0
162442,0.011093822191667402,3960335960.0,356985707142.0,5870052493.204596,5870052493.204596,624901.5422686688,97310221.31861152,18.462044263722305,0.0
167650,0.01182989519051012,4223103500.0,356985707142.0,5811351968.27255,5811351968.27255,659700.0046953281,101596287.4077701,19.31925748155402,0.0
168751,0.01216284894082013,4341963230.0,356985707142.0,5753238448.589825,5753238448.589825,671484.663254343,103495857.54191189,19.699171508382378,0.0
174431,0.012572239000635232,4488109630.0,356985707142.0,5695706064.103927,5695706064.103927,687145.3436314911,105815010.63010895,20.16300212602179,0.0
181605,0.007,4427529900.0,632504271428.0,13904305931.462887,0.021982943925534675,671091.6705099519,132208465.90557712,25.441693181115426,0.0
184462,0.007503834320809446,4746207260.0,632504271428.0,13765262872.148256,13765262872.148256,991188.2765276944,139161764.6368547,26.83235292737094,0.0
187314,0.007539892859905963,4769014440.0,632504271428.0,13627610243.426775,13627610243.426775,985991.7688221643,139606225.6026817,26.92124512053634,0.0
188231,0.0074964535485192284,4741538890.0,632504271428.0,13491334140.992508,13491334140.992508,970508.0980881444,138963172.22427684,26.792634444855366,0.0
190773,0.007271946195107364,4599537030.0,632504271428.0,13356420799.582582,13356420799.582582,932028.4317483717,135885214.37430072,26.177042874860145,0.0
191754,0.007227485357022413,4571415360.0,632504271428.0,13222856591.586758,13222856591.586758,917066.6896365137,135243110.0438604,26.04862200877208,0.0
193455,0.008034827715117664,5082062850.0,632504271428.0,13090628025.67089,13090628025.67089,1009312.0588435163,145865360.57795984,28.173072115591967,0.0
203179,0.007831574020546158,4953504020.0,632504271428.0,12959721745.414183,12959721745.414183,973942.1124055313,143153381.9563017,27.630676391260337,0.0
205690,0.007752753335450318,4903649600.0,632504271428.0,12830124527.960041,12830124527.960041,954498.4968885427,142081651.04668257,27.416330209336515,0.0
214158,0.008803273355654857,5568108000.0,632504271428.0,12701823282.680439,12701823282.680439,1072997.387363896,155503480.17831853,30.100696035663706,0.0
217528,0.00866323053855258,5479530320.0,632504271428.0,12574805049.853636,12574805049.853636,1045368.8218992362,153669661.65179777,29.733932330359554,0.0
217852,0.008676134103585547,5487691880.0,632504271428.0,12449056999.3551,12449056999.3551,1036456.6019202513,153777371.11906594,29.755474223813188,0.0
229957,0.009354551229577788,5916793610.0,632504271428.0,12324566429.36155,12324566429.36155,1106325.7438738137,162164796.9191518,31.43295938383036,0.0
232100,0.009441727542040488,5971933000.0,632504271428.0,12201320765.067934,12201320765.067934,1105469.3838481987,163181024.57401523,31.636204914803045,0.0
233827,0.009412166350370135,5953235420.0,632504271428.0,12079307557.417255,12079307557.417255,1090988.1769829192,162762918.56188008,31.552583712376016,0.0
234825,0.008951134412448757,5661630750.0,632504271428.0,11958514481.843084,11958514481.843084,1027173.3027796115,157139910.2371578,30.42798204743156,0.0
242791,0.009151143638812378,5788137440.0,632504271428.0,11838929337.024652,11838929337.024652,1039623.795436567,159477006.4252643,30.89540128505286,0.0
247453,0.010171912334243229,6433778000.0,632504271428.0,11720540043.654408,11720540043.654408,1144033.2378013781,171501602.60424322,33.30032052084864,0.0
234407,0.009235388129177161,5841422440.0,632504271428.0,11603334643.217863,11603334643.217863,1028315.495673762,160470911.2887214,31.094182257744283,0.0
238835,0.009205941466377635,5822797300.0,632504271428.0,11487301296.785683,11487301296.785683,1014786.3856324424,160075821.9963624,31.01516439927248,0.0
243013,0.009781927584506911,6187110980.0,632504271428.0,11372428283.817825,11372428283.817825,1067495.5195524187,166636164.10336608,32.32723282067322,0.0
249589,0.009620456485237622,6084979820.0,632504271428.0,11258704000.979647,11258704000.979647,1039375.5386415756,164745141.6312989,31.94902832625978,0.0
251988,0.009497791859076546,6007393920.0,632504271428.0,11146116960.96985,11146116960.96985,1015861.8584404388,163310630.50035837,31.662126100071674,0.0
251997,0.010358700005626486,6551922000.0,632504271428.0,11034655791.360151,11034655791.360151,1096863.17734997,172848683.7535426,33.56973675070852,0.0
258045,0.010387006059528034,6569825700.0,632504271428.0,10924309233.44655,10924309233.44655,1088861.8474118023,173103722.79687306,33.620744559374614,0.0
274162,0.01138685707803928,7202235740.0,632504271428.0,10815066141.112085,10815066141.112085,1181738.7052168215,183964207.73650762,35.79284154730153,0.0
276147,0.010879900027336579,6881583240.0,632504271428.0,10706915479.700964,10706915479.700964,1117834.964841162,178422600.28325263,34.68452005665053,0.0
289782,0.01141710462080576,7221367440.0,632504271428.0,10599846324.903954,10599846324.903954,1161298.7548797792,184113283.47373533,35.82265669474707,0.0
289741,0.010920756984621083,6907425440.0,632504271428.0,10493847861.654915,10493847861.654915,1099704.2849917384,178794195.6335541,34.75883912671082,0.0
295244,0.012262462453398463,7756059880.0,632504271428.0,10388909383.038366,10388909383.038366,1222463.9462545747,192809508.4903567,37.561901698071345,0.0
